"ID","Data.Source","Sequence.Length","Sequence.Quality","Collection.Date","Country","Location","GenBank","GISAID","Genome.Warehouse","NMDC","CNGBdb"
"EPI_ISL_417921","GISAID",29760,"High","2020/3/1","Italy","Italy / Rome",0,1,0,0,0
"EPI_ISL_417922","GISAID",29760,"High","2020/2/28","Italy","Italy / Rome",0,1,0,0,0
"EPI_ISL_417923","GISAID",29791,"High","2020/3/4","Italy","Italy / Rome",0,1,0,0,0
"MT251977","GenBank",29829,"High","2020/3/14","United States","United States / Washington",1,1,0,0,0
"MT251978","GenBank",29906,"High","2020/3/14","United States","United States / Washington",1,1,0,0,0
"MT251972","GenBank",29861,"High","2020/3/14","United States","United States / Washington",1,1,0,0,0
"MT251973","GenBank",29871,"High","2020/3/14","United States","United States / Washington",1,1,0,0,0
"MT251974","GenBank",29852,"High","2020/3/14","United States","United States / Washington",1,1,0,0,0
"MT251975","GenBank",29875,"High","2020/3/14","United States","United States / Washington",1,1,0,0,0
"MT251976","GenBank",29900,"High","2020/3/14","United States","United States / Washington",1,1,0,0,0
"MT251979","GenBank",29839,"High","2020/3/14","United States","United States / Washington",1,1,0,0,0
"MT251980","GenBank",29845,"High","2020/3/14","United States","United States / Washington",1,1,0,0,0
"MT246480","GenBank",29904,"High","2020/3/13","United States","United States / Washington",1,1,0,0,0
"MT246481","GenBank",29873,"High","2020/3/13","United States","United States / Washington",1,1,0,0,0
"MT246482","GenBank",29844,"High","2020/3/15","United States","United States / Washington",1,1,0,0,0
"MT246484","GenBank",29870,"High","2020/3/15","United States","United States / Washington",1,1,0,0,0
"MT246485","GenBank",29775,"High","2020/3/15","United States","United States / Washington",1,1,0,0,0
"MT246486","GenBank",29867,"High","2020/3/14","United States","United States / Washington",1,1,0,0,0
"MT246487","GenBank",29883,"High","2020/3/15","United States","United States / Washington",1,1,0,0,0
"MT246488","GenBank",29842,"High","2020/3/14","United States","United States / Washington",1,1,0,0,0
"MT246489","GenBank",29864,"High","2020/3/14","United States","United States / Washington",1,1,0,0,0
"MT246490","GenBank",29850,"High","2020/3/15","United States","United States / Washington",1,1,0,0,0
"MT246449","GenBank",29828,"High","2020/3/13","United States","United States / Washington",1,1,0,0,0
"MT246450","GenBank",29872,"High","2020/3/13","United States","United States / Washington",1,1,0,0,0
"MT246451","GenBank",29868,"High","2020/3/13","United States","United States / Washington",1,1,0,0,0
"MT246452","GenBank",29888,"High","2020/3/13","United States","United States / Washington",1,1,0,0,0
"MT246453","GenBank",29823,"High","2020/3/13","United States","United States / Washington",1,1,0,0,0
"MT246454","GenBank",29892,"High","2020/3/12","United States","United States / Washington",1,1,0,0,0
"MT246455","GenBank",29857,"High","2020/3/12","United States","United States / Washington",1,1,0,0,0
"MT246457","GenBank",29843,"High","2020/3/12","United States","United States / Washington",1,1,0,0,0
"MT246459","GenBank",29909,"High","2020/3/12","United States","United States / Washington",1,1,0,0,0
"MT246460","GenBank",29917,"High","2020/3/12","United States","United States / Washington",1,1,0,0,0
"MT246461","GenBank",29877,"High","2020/3/13","United States","United States / Washington",1,1,0,0,0
"MT246462","GenBank",29903,"High","2020/3/13","United States","United States / Washington",1,1,0,0,0
"MT246464","GenBank",29818,"High","2020/3/13","United States","United States / Washington",1,1,0,0,0
"MT246466","GenBank",29897,"High","2020/3/13","United States","United States / Washington",1,1,0,0,0
"MT246467","GenBank",29899,"High","2020/3/14","United States","United States / Washington",1,1,0,0,0
"MT246468","GenBank",29843,"High","2020/3/14","United States","United States / Washington",1,1,0,0,0
"MT246469","GenBank",29869,"High","2020/3/14","United States","United States / Washington",1,1,0,0,0
"MT246470","GenBank",29860,"High","2020/3/13","United States","United States / Washington",1,1,0,0,0
"MT246471","GenBank",29871,"High","2020/3/14","United States","United States / Washington",1,1,0,0,0
"MT246472","GenBank",29810,"High","2020/3/12","United States","United States / Washington",1,1,0,0,0
"MT246473","GenBank",29825,"High","2020/3/14","United States","United States / Washington",1,1,0,0,0
"MT246474","GenBank",29884,"High","2020/3/14","United States","United States / Washington",1,1,0,0,0
"MT246475","GenBank",29877,"High","2020/3/13","United States","United States / Washington",1,1,0,0,0
"MT246476","GenBank",29863,"High","2020/3/13","United States","United States",1,1,0,0,0
"MT246477","GenBank",29886,"High","2020/3/14","United States","United States / Washington",1,1,0,0,0
"MT246478","GenBank",29889,"High","2020/3/14","United States","United States / Washington",1,1,0,0,0
"MT246479","GenBank",29828,"High","2020/3/13","United States","United States / Washington",1,1,0,0,0
"MT233519","GenBank",29782,"High","2020/2/27","Spain","Spain / Comunitat_Valenciana / Valencia",1,1,0,0,0
"MT233523","GenBank",29782,"High","2020/3/4","Spain","Spain / Comunitat_Valenciana / Valencia",1,1,0,0,0
