Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Isolation_Source,Collection_Date
OR282562,Severe acute respiratory syndrome coronavirus 2,"Schwem,B., Verma,S.K., Bodnar,L., Barnes,C.L., Filippo,C.S., Ali,M., Pugliese,M.-M., Woell,D., Jeong,B.S.","NJDOH PHEL-Virology's shared submissions, PHEL- Virology",USA,2023-07-17T00:00:00Z,XBB.2.3.2,4.3/1.21/v0.1.12/0.3.18,true,NJ-PHEL-V23011516,Severe acute respiratory syndrome-related coronavirus,29684,complete,USA,,Homo sapiens,,2023-06-02
OR283417,Severe acute respiratory syndrome coronavirus 2,"Scribner,M.","California Department of Public Health, IDLB VRDL/COVIDNet",USA,2023-07-17T00:00:00Z,GJ.1,4.3/1.21/v0.1.12/0.3.18,true,CA-CDPH-500115770,Severe acute respiratory syndrome-related coronavirus,29771,complete,USA,,Homo sapiens,,2023-05-19
OR283430,Severe acute respiratory syndrome coronavirus 2,"Scribner,M.","California Department of Public Health, IDLB VRDL/COVIDNet",USA,2023-07-17T00:00:00Z,XBB.2.3.3,4.3/1.21/v0.1.12/0.3.18,true,CA-CDPH-500115786,Severe acute respiratory syndrome-related coronavirus,29801,complete,USA,,Homo sapiens,,2023-05-18
OR283468,Severe acute respiratory syndrome coronavirus 2,"Scribner,M.","California Department of Public Health, IDLB VRDL/COVIDNet",USA,2023-07-17T00:00:00Z,XBB.2.3.2,4.3/1.21/v0.1.12/0.3.18,true,CA-CDPH-500115838,Severe acute respiratory syndrome-related coronavirus,29771,complete,USA,,Homo sapiens,,2023-05-22
OR283667,Severe acute respiratory syndrome coronavirus 2,"Scribner,M.","California Department of Public Health, IDLB VRDL/COVIDNet",USA,2023-07-17T00:00:00Z,XBB.2.3.12,4.3/1.21/v0.1.12/0.3.18,true,CA-CDPH-500116132,Severe acute respiratory syndrome-related coronavirus,29771,complete,USA,,Homo sapiens,,2023-05-18
OR283931,Severe acute respiratory syndrome coronavirus 2,"Scribner,M.","California Department of Public Health, IDLB VRDL/COVIDNet",USA,2023-07-17T00:00:00Z,XBB.2.3.3,4.3/1.21/v0.1.12/0.3.18,true,CA-CDPH-500116499,Severe acute respiratory syndrome-related coronavirus,29786,complete,USA,,Homo sapiens,,2023-05-24
OR283941,Severe acute respiratory syndrome coronavirus 2,"Scribner,M.","California Department of Public Health, IDLB VRDL/COVIDNet",USA,2023-07-17T00:00:00Z,XBB.2.3.2,4.3/1.21/v0.1.12/0.3.18,true,CA-CDPH-500116519,Severe acute respiratory syndrome-related coronavirus,29786,complete,USA,,Homo sapiens,,2023-05-24
OR284018,Severe acute respiratory syndrome coronavirus 2,"Scribner,M.","California Department of Public Health, IDLB VRDL/COVIDNet",USA,2023-07-17T00:00:00Z,XBB.2.3.5,4.3/1.21/v0.1.12/0.3.18,true,CA-CDPH-500116633,Severe acute respiratory syndrome-related coronavirus,29771,complete,USA,,Homo sapiens,,2023-05-17
OR284040,Severe acute respiratory syndrome coronavirus 2,"Scribner,M.","California Department of Public Health, IDLB VRDL/COVIDNet",USA,2023-07-17T00:00:00Z,GJ.1,4.3/1.21/v0.1.12/0.3.18,true,CA-CDPH-500116666,Severe acute respiratory syndrome-related coronavirus,29771,complete,USA,,Homo sapiens,,2023-06-05
OR284058,Severe acute respiratory syndrome coronavirus 2,"Scribner,M.","California Department of Public Health, IDLB VRDL/COVIDNet",USA,2023-07-17T00:00:00Z,GJ.1,4.3/1.21/v0.1.12/0.3.18,true,CA-CDPH-500116698,Severe acute respiratory syndrome-related coronavirus,29779,complete,USA,,Homo sapiens,,2023-06-01
OY292545,Severe acute respiratory syndrome coronavirus 2,,"Kelvin Laboratories, Royal Hospitals site, Grosvenor Road, Belfast, BT12 6BA; and: Genomics Core Technology Unit, Queens University Belfast, 97 Lisburn Road, Belfast Bt9 7Bl",,2023-07-16T00:00:00Z,FY.1.2,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29851,complete,United Kingdom:Northern_Ireland,,Homo sapiens,,2023-06-05
OY292546,Severe acute respiratory syndrome coronavirus 2,,"Kelvin Laboratories, Royal Hospitals site, Grosvenor Road, Belfast, BT12 6BA; and: Genomics Core Technology Unit, Queens University Belfast, 97 Lisburn Road, Belfast Bt9 7Bl",,2023-07-16T00:00:00Z,XCF,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29847,complete,United Kingdom:Northern_Ireland,,Homo sapiens,,2023-05-20
OY292547,Severe acute respiratory syndrome coronavirus 2,,"Kelvin Laboratories, Royal Hospitals site, Grosvenor Road, Belfast, BT12 6BA; and: Genomics Core Technology Unit, Queens University Belfast, 97 Lisburn Road, Belfast Bt9 7Bl",,2023-07-16T00:00:00Z,EL.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29841,complete,United Kingdom:Northern_Ireland,,Homo sapiens,,2023-05-20
OY292819,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,EG.5.2,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29829,complete,United Kingdom:England,,Homo sapiens,,2023-05-17
OY292821,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.16,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29856,complete,United Kingdom:England,,Homo sapiens,,2023-06-05
OY292823,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,FS.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29850,complete,United Kingdom:England,,Homo sapiens,,2023-06-04
OY292825,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,FL.3,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29873,complete,United Kingdom:England,,Homo sapiens,,2023-05-24
OY292827,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.5,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29856,complete,United Kingdom:England,,Homo sapiens,,2023-05-27
OY292829,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.16,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29856,complete,United Kingdom:England,,Homo sapiens,,2023-05-22
OY292832,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,EG.1,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29885,complete,United Kingdom:England,,Homo sapiens,,2023-05-22
OY292835,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.16,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29856,complete,United Kingdom:England,,Homo sapiens,,2023-05-18
OY292840,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.16,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29856,complete,United Kingdom:England,,Homo sapiens,,2023-05-28
OY292844,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,CH.1.1.30,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29859,complete,United Kingdom:England,,Homo sapiens,,2023-05-19
OY292858,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.9.2,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29859,complete,United Kingdom:England,,Homo sapiens,,2023-05-31
OY292873,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.16,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29847,complete,United Kingdom:England,,Homo sapiens,,2023-05-18
OY292890,Severe acute respiratory syndrome coronavirus 2,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-07-16T00:00:00Z,XBB.1.9.2,4.3/1.21/v0.1.12/0.3.18,,,Severe acute respiratory syndrome-related coronavirus,29885,complete,United Kingdom:England,,Homo sapiens,,2023-05-26
